q,a
แสดงรายละเอียดของตาราง  Ototal พร้อมทั้ง CProvince จากตาราง  customers .,"SELECT  orderss.Ototal, customers.CProvince  FROM orderss  JOIN  customers  ON  orderss.CustomerNo = customers.CustomerNo ;"
"แสดงรายละเอียดของตาราง  quantity พร้อมทั้ง PName, ProductNo, PPrice จากตาราง  products .","SELECT  orders_details.quantity, products.PName, products.ProductNo, products.PPrice  FROM orders_details  JOIN  products  ON  orders_details.ProductNo = products.ProductNo ;"
แสดงรายละเอียดของตาราง  Ototal พร้อมทั้ง OrderNo จากตาราง  orders_details .,"SELECT  orderss.Ototal, orders_details.OrderNo  FROM orderss  JOIN  orders_details  ON  orderss.OrderNo = orders_details.OrderNo ;"
"แสดงรายละเอียดของตาราง  PTotal พร้อมทั้ง quantity, OrderNo, ProductNo จากตาราง  orders_details .","SELECT  products.PTotal, orders_details.quantity, orders_details.OrderNo, orders_details.ProductNo  FROM products  JOIN  orders_details  ON  products.ProductNo = orders_details.ProductNo ;"
แสดงรายละเอียดของตาราง  CPhone พร้อมทั้ง OrderNo จากตาราง  orderss  ของแต่ละ  CustomerNo.,"SELECT  customers.CPhone, orderss.OrderNo  FROM customers  ,  orderss  WHERE  customers.CustomerNo = orderss.CustomerNo ;"
แสดงรายละเอียดของตาราง  Ototal พร้อมทั้ง OrderNo จากตาราง  orders_details  ของแต่ละ  OrderNo.,"SELECT  orderss.Ototal, orders_details.OrderNo  FROM orderss  ,  orders_details  WHERE  orderss.OrderNo = orders_details.OrderNo ;"
แสดงรายละเอียดของตาราง  quantity พร้อมทั้ง ODate จากตาราง  orderss  ของแต่ละ  OrderNo.,"SELECT  orders_details.quantity, orderss.ODate  FROM orders_details  ,  orderss  WHERE  orders_details.OrderNo = orderss.OrderNo ;"
แสดงรายละเอียดของตาราง  orders_details และ orderss ที่มี OrderNo ตรงกัน .,SELECT  *  FROM orders_details  JOIN  orderss  WHERE  orders_details.OrderNo = orderss.OrderNo ;
แสดงรายละเอียดของตาราง  quantity พร้อมทั้ง ODate จากตาราง  orderss .,"SELECT  orders_details.quantity, orderss.ODate  FROM orders_details  JOIN  orderss  ON  orders_details.OrderNo = orderss.OrderNo ;"
แสดงรายละเอียดของตาราง  orderss และ orders_details ที่มี OrderNo ตรงกัน .,SELECT  *  FROM orderss  JOIN  orders_details  WHERE  orderss.OrderNo = orders_details.OrderNo ;
"แสดงรายละเอียดของตาราง  CPhone พร้อมทั้ง Ototal, ODate จากตาราง  orderss  ของแต่ละ  CustomerNo.","SELECT  customers.CPhone, orderss.Ototal, orderss.ODate  FROM customers  ,  orderss  WHERE  customers.CustomerNo = orderss.CustomerNo ;"
แสดงรายละเอียดของตาราง  orders_details และ products ที่มี ProductNo ตรงกัน .,SELECT  *  FROM orders_details  JOIN  products  WHERE  orders_details.ProductNo = products.ProductNo ;
"แสดงรายละเอียดของตาราง  quantity พร้อมทั้ง ProductNo, PTotal, PPrice จากตาราง  products  ของแต่ละ  ProductNo.","SELECT  orders_details.quantity, products.ProductNo, products.PTotal, products.PPrice  FROM orders_details  ,  products  WHERE  orders_details.ProductNo = products.ProductNo ;"
"แสดงรายละเอียดของตาราง  CPhone พร้อมทั้ง Ototal, ODate จากตาราง  orderss .","SELECT  customers.CPhone, orderss.Ototal, orderss.ODate  FROM customers  JOIN  orderss  ON  customers.CustomerNo = orderss.CustomerNo ;"
แสดง  the  ค่าเฉลี่ยของ total order และจำนวนของ  total order  โดยจัดกลุ่มตาม CustomerNo  ซึ่งค่าเฉลี่ยของ  average  total order ต้อง  มากกว่า  16.,"SELECT CustomerNo, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY CustomerNo HAVING AVG(Ototal)  > 16 ;"
แสดง  the  ค่าเฉลี่ยของ total order และจำนวนของ  total order  โดยจัดกลุ่มตาม CustomerNo  ซึ่งค่าเฉลี่ยของ  average  total order ต้อง  น้อยกว่า  16.,"SELECT CustomerNo, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY CustomerNo HAVING AVG(Ototal)  < 16 ;"
แสดง  the  ค่าเฉลี่ยของ price product และจำนวนของ  product number  โดยจัดกลุ่มตาม PPrice  ซึ่งค่าเฉลี่ยของ  average  price product ต้อง  น้อยกว่า  70.,"SELECT PPrice, AVG(PPrice), ProductNo =  COUNT(*) FROM products GROUP BY PPrice HAVING AVG(PPrice)  < 70 ;"
แสดง  the  ค่าเฉลี่ยของ quantity product และจำนวนของ  order number  โดยจัดกลุ่มตาม ProductNo  ซึ่งค่าเฉลี่ยของ  average  quantity product ต้อง  มากกว่า  47.,"SELECT ProductNo, AVG(quantity), OrderNo =  COUNT(*) FROM orders_details GROUP BY ProductNo HAVING AVG(quantity)  > 47 ;"
แสดง  the  ค่าเฉลี่ยของ quantity product และจำนวนของ  order number  โดยจัดกลุ่มตาม ProductNo  ซึ่งค่าเฉลี่ยของ  average  quantity product ต้อง  น้อยกว่า  47.,"SELECT ProductNo, AVG(quantity), OrderNo =  COUNT(*) FROM orders_details GROUP BY ProductNo HAVING AVG(quantity)  < 47 ;"
แสดง   ค่าเฉลี่ยของ price product และจำนวนของ  product number  โดยจัดกลุ่มตาม PName  ซึ่ง  ค่าเฉลี่ยของ  price product ต้อง  น้อยกว่า  17.,"SELECT PName, AVG(PPrice), ProductNo =  COUNT(*) FROM products GROUP BY PName HAVING AVG(PPrice)  < 17 ;"
แสดง   ค่าเฉลี่ยของ price product และจำนวนของ  product number  โดยจัดกลุ่มตาม PName  ซึ่ง  ค่าเฉลี่ยของ  price product ต้อง  มากกว่า  17.,"SELECT PName, AVG(PPrice), ProductNo =  COUNT(*) FROM products GROUP BY PName HAVING AVG(PPrice)  > 17 ;"
แสดง   ค่าเฉลี่ยของ quantity product และจำนวนของ  order number  โดยจัดกลุ่มตาม quantity  ซึ่ง  ค่าเฉลี่ยของ  quantity product ต้อง  มากกว่า  03.,"SELECT quantity, AVG(quantity), OrderNo =  COUNT(*) FROM orders_details GROUP BY quantity HAVING AVG(quantity)  > 03 ;"
แสดง   ค่าเฉลี่ยของ total order และจำนวนของ  total order  โดยจัดกลุ่มตาม Ototal  ซึ่ง  ค่าเฉลี่ยของ  total order ต้อง  มากกว่า  78.,"SELECT Ototal, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY Ototal HAVING AVG(Ototal)  > 78 ;"
แสดง ค่าเฉลี่ยของ quantity product และจำนวนของ  order number  โดยจัดกลุ่มตาม ProductNo  ซึ่ง  ค่าเฉลี่ยของ  quantity product ต้อง  น้อยกว่า  94.,"SELECT ProductNo, AVG(quantity), OrderNo =  COUNT(*) FROM orders_details GROUP BY ProductNo HAVING AVG(quantity)  < 94 ;"
แสดง ค่าเฉลี่ยของ price product และจำนวนของ  product number  โดยจัดกลุ่มตาม PName  ซึ่ง  ค่าเฉลี่ยของ  price product ต้อง  มากกว่า  94.,"SELECT PName, AVG(PPrice), ProductNo =  COUNT(*) FROM products GROUP BY PName HAVING AVG(PPrice)  > 94 ;"
แสดง ค่าเฉลี่ยของ total order และจำนวนของ  total order  โดยจัดกลุ่มตาม ODate  ซึ่ง  ค่าเฉลี่ยของ  total order ต้อง  น้อยกว่า  78.,"SELECT ODate, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY ODate HAVING AVG(Ototal)  < 78 ;"
แสดง ค่าเฉลี่ยของ quantity product และจำนวนของ  order number  โดยจัดกลุ่มตาม ProductNo  ซึ่ง  ค่าเฉลี่ยของ  quantity product ต้อง  มากกว่า  94.,"SELECT ProductNo, AVG(quantity), OrderNo =  COUNT(*) FROM orders_details GROUP BY ProductNo HAVING AVG(quantity)  > 94 ;"
แสดง ค่าเฉลี่ยของ price product และจำนวนของ  product number  โดยจัดกลุ่มตาม PTotal  ซึ่งค่าเฉลี่ยของ  price product ต้อง  น้อยกว่า  89.,"SELECT PTotal, AVG(PPrice), ProductNo =  COUNT(*) FROM products GROUP BY PTotal HAVING AVG(PPrice)  < 89 ;"
แสดง ค่าเฉลี่ยของ total order และจำนวนของ  total order  โดยจัดกลุ่มตาม CustomerNo  ซึ่งค่าเฉลี่ยของ  total order ต้อง  น้อยกว่า  04.,"SELECT CustomerNo, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY CustomerNo HAVING AVG(Ototal)  < 04 ;"
แสดง ค่าเฉลี่ยของ price product และจำนวนของ  product number  โดยจัดกลุ่มตาม PTotal  ซึ่งค่าเฉลี่ยของ  price product ต้อง  มากกว่า  89.,"SELECT PTotal, AVG(PPrice), ProductNo =  COUNT(*) FROM products GROUP BY PTotal HAVING AVG(PPrice)  > 89 ;"
แสดง ค่าเฉลี่ยของ quantity product และจำนวนของ  order number  โดยจัดกลุ่มตาม ProductNo  ซึ่งค่าเฉลี่ยของ  quantity product ต้อง  มากกว่า  10.,"SELECT ProductNo, AVG(quantity), OrderNo =  COUNT(*) FROM orders_details GROUP BY ProductNo HAVING AVG(quantity)  > 10 ;"
แสดง ค่าเฉลี่ยของ total order และจำนวนของ  total order  โดยจัดกลุ่มตาม ODate  ซึ่งค่าเฉลี่ยของ  total order ต้องน้อยกว่า  93.,"SELECT ODate, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY ODate HAVING AVG(Ototal)  < 93 ;"
แสดง ค่าเฉลี่ยของ price product และจำนวนของ  product number  โดยจัดกลุ่มตาม PTotal  ซึ่งค่าเฉลี่ยของ  price product ต้องมากกว่า  43.,"SELECT PTotal, AVG(PPrice), ProductNo =  COUNT(*) FROM products GROUP BY PTotal HAVING AVG(PPrice)  > 43 ;"
แสดง ค่าเฉลี่ยของ quantity product และจำนวนของ  order number  โดยจัดกลุ่มตาม quantity  ซึ่งค่าเฉลี่ยของ  quantity product ต้องน้อยกว่า  52.,"SELECT quantity, AVG(quantity), OrderNo =  COUNT(*) FROM orders_details GROUP BY quantity HAVING AVG(quantity)  < 52 ;"
แสดง  total order พร้อมทั้ง quantity product และ price product จากตาราง orders_details .,"SELECT  orderss.Ototal, orders_details.quantity, products.PPrice  FROM orderss  JOIN  orders_details  ON  orderss.OrderNo = orders_details.OrderNo  JOIN  products  ON  orders_details.ProductNo = products.ProductNo ;"
แสดง  total order พร้อมทั้ง quantity product และ total product จากตาราง orders_details .,"SELECT  orderss.Ototal, orders_details.quantity, products.PTotal  FROM orderss  JOIN  orders_details  ON  orderss.OrderNo = orders_details.OrderNo  JOIN  products  ON  orders_details.ProductNo = products.ProductNo ;"
แสดง  total order พร้อมทั้ง quantity product และ price product จากตาราง orders_details .,"SELECT  orderss.Ototal, orders_details.quantity, products.PPrice  FROM orderss  JOIN  orders_details  ON  orderss.OrderNo = orders_details.OrderNo  JOIN  products  ON  orders_details.ProductNo = products.ProductNo ;"
แสดง  total order พร้อมทั้ง quantity product และ total product จากตาราง orders_details .,"SELECT  orderss.Ototal, orders_details.quantity, products.PTotal  FROM orderss  JOIN  orders_details  ON  orderss.OrderNo = orders_details.OrderNo  JOIN  products  ON  orders_details.ProductNo = products.ProductNo ;"
แสดง  total order พร้อมทั้ง quantity product และ total product จากตาราง orders_details .,"SELECT  orderss.Ototal, orders_details.quantity, products.PTotal  FROM orderss  JOIN  orders_details  ON  orderss.OrderNo = orders_details.OrderNo  JOIN  products  ON  orders_details.ProductNo = products.ProductNo ;"
แสดง  total order พร้อมทั้ง quantity product และ total product จากตาราง orders_details .,"SELECT  orderss.Ototal, orders_details.quantity, products.PTotal  FROM orderss  JOIN  orders_details  ON  orderss.OrderNo = orders_details.OrderNo  JOIN  products  ON  orders_details.ProductNo = products.ProductNo ;"
แสดงค่าเฉลี่ยของtotal product และจำนวนของ product number โดยจัดกลุ่มตาม product name ซึ่งค่าเฉลี่ยของ  total product ต้อง  มากกว่า  14 .,"SELECT PName, AVG(PTotal), ProductNo =  COUNT(*) FROM products GROUP BY PName HAVING AVG(PTotal)  > 14 ;"
แสดงค่าเฉลี่ยของtotal product และจำนวนของ product number โดยจัดกลุ่มตาม product name ซึ่งค่าเฉลี่ยของ  total product ต้อง  น้อยกว่า  74 .,"SELECT PName, AVG(PTotal), ProductNo =  COUNT(*) FROM products GROUP BY PName HAVING AVG(PTotal)  < 74 ;"
แสดงค่าเฉลี่ยของquantity product และจำนวนของ order number โดยจัดกลุ่มตาม product number ซึ่งค่าเฉลี่ยของ  quantity product ต้อง  มากกว่า  79 .,"SELECT ProductNo, AVG(quantity), OrderNo =  COUNT(*) FROM orders_details GROUP BY ProductNo HAVING AVG(quantity)  > 79 ;"
แสดงค่าเฉลี่ยของquantity product และจำนวนของ order number โดยจัดกลุ่มตาม product number ซึ่งค่าเฉลี่ยของ  quantity product ต้อง  น้อยกว่า  79 .,"SELECT ProductNo, AVG(quantity), OrderNo =  COUNT(*) FROM orders_details GROUP BY ProductNo HAVING AVG(quantity)  < 79 ;"
แสดงค่าเฉลี่ยของtotal product และจำนวนของ product number โดยจัดกลุ่มตาม product name ซึ่งค่าเฉลี่ยของ  total product ต้อง  น้อยกว่า  14 .,"SELECT PName, AVG(PTotal), ProductNo =  COUNT(*) FROM products GROUP BY PName HAVING AVG(PTotal)  < 14 ;"
แสดง orders_details sorted in  descending  order by ProductNo  so that the orders_details with the largest ProductNo appear first .,SELECT  *  FROM orders_details  ORDER BY  ProductNo  DESC ;
"แสดงOrderNo,Ototal,CustomerNo for each  orderss sorted in  alphabetical  order by CustomerNo .","SELECT  OrderNo,Ototal,CustomerNo  FROM orderss  ORDER BY  CustomerNo ;"
"แสดงquantity,ProductNo for each  orders_details sorted in  alphabetical  order by ProductNo .","SELECT  quantity,ProductNo  FROM orders_details  ORDER BY  ProductNo ;"
แสดง orderss sorted in  descending  order by CustomerNo  so that the orderss with the largest CustomerNo appear first .,SELECT  *  FROM orderss  ORDER BY  CustomerNo  DESC ;
แสดง ค่าเฉลี่ยของ total order และจำนวนของ  total order  โดยจัดกลุ่มตาม ODate  ซึ่งค่าเฉลี่ยของ  total order ต้องน้อยกว่า  50.,"SELECT ODate, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY ODate HAVING AVG(Ototal)  < 50 ;"
แสดง ค่าเฉลี่ยของ price product และจำนวนของ  product number  โดยจัดกลุ่มตาม PTotal  ซึ่งค่าเฉลี่ยของ  price product ต้องมากกว่า  38.,"SELECT PTotal, AVG(PPrice), ProductNo =  COUNT(*) FROM products GROUP BY PTotal HAVING AVG(PPrice)  > 38 ;"
แสดง ค่าเฉลี่ยของ total order และจำนวนของ  total order  โดยจัดกลุ่มตาม ODate  ซึ่งค่าเฉลี่ยของ  total order ต้องมากกว่า  50.,"SELECT ODate, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY ODate HAVING AVG(Ototal)  > 50 ;"
แสดง ค่าเฉลี่ยของ price product และจำนวนของ  product number  โดยจัดกลุ่มตาม PTotal  ซึ่งค่าเฉลี่ยของ  price product ต้องน้อยกว่า  38.,"SELECT PTotal, AVG(PPrice), ProductNo =  COUNT(*) FROM products GROUP BY PTotal HAVING AVG(PPrice)  < 38 ;"
"แสดงquantity,OrderNo,ProductNo for each  orders_details sorted in  alphabetical  order by ProductNo .","SELECT  quantity,OrderNo,ProductNo  FROM orders_details  ORDER BY  ProductNo ;"
แสดงPTotal for each  products sorted in  alphabetical  order by PTotal .,SELECT  PTotal  FROM products  ORDER BY  PTotal ;
แสดง orders_details โดยเรียงลำดับ  จากน้อยไปมาก  order by quantity  so that the orders_details with the largest quantity appear first .,SELECT  *  FROM orders_details  ORDER BY  quantity  DESC ;
แสดง orderss โดยเรียงลำดับ  จากน้อยไปมาก  order by Ototal  so that the orderss with the largest Ototal appear first .,SELECT  *  FROM orderss  ORDER BY  Ototal  DESC ;
แสดง orderss โดยเรียงลำดับ  จากน้อยไปมาก  order by ODate  so that the orderss with the largest ODate appear first .,SELECT  *  FROM orderss  ORDER BY  ODate  DESC ;
แสดงOrderNo  orders_details โดยเรียงลำดับ  จากมากไปน้อย  order by OrderNo .,SELECT  OrderNo  FROM orders_details  ORDER BY  OrderNo ;
แสดง products โดยเรียงลำดับ  จากน้อยไปมาก  order by PName  so that the products with the largest PName appear first .,SELECT  *  FROM products  ORDER BY  PName  DESC ;
"แสดงProductNo,PPrice ของ  products โดยเรียงลำดับ  จากมากไปน้อย  order by PPrice .","SELECT  ProductNo,PPrice  FROM products  ORDER BY  PPrice ;"
"แสดงOtotal,CustomerNo ของ  orderss โดยเรียงลำดับ  จากมากไปน้อย  order by CustomerNo .","SELECT  Ototal,CustomerNo  FROM orderss  ORDER BY  CustomerNo ;"
"แสดงข้อมูลทั้งหมดของตารางPPrice,PTotal,ProductNo ของ  products โดยเรียงลำดับ  จากมากไปน้อย  order by ProductNo .","SELECT  PPrice,PTotal,ProductNo  FROM products  ORDER BY  ProductNo ;"
แสดงข้อมูลทั้งหมดของตารางquantity ของ  orders_details โดยเรียงลำดับ  จากมากไปน้อย  order by quantity .,SELECT  quantity  FROM orders_details  ORDER BY  quantity ;
"แสดงProductNo,OrderNo,quantity ของ  orders_details โดยเรียงลำดับ  จากมากไปน้อย  order by quantity .","SELECT  ProductNo,OrderNo,quantity  FROM orders_details  ORDER BY  quantity ;"
แสดงProductNo ของ  products โดยเรียงลำดับ  จากมากไปน้อย  order by ProductNo .,SELECT  ProductNo  FROM products  ORDER BY  ProductNo ;
แสดงPPrice ของ  products โดยเรียงลำดับ  product number .,SELECT  PPrice  FROM products  ORDER BY  PPrice ;
แสดงquantity ของ  orders_details โดยเรียงลำดับ  order number .,SELECT  quantity  FROM orders_details  ORDER BY  quantity ;
แสดงODate ของ  orderss โดยเรียงลำดับ  total order  จากน้อยไปมาก .,SELECT  ODate  FROM orderss  ORDER BY  ODate ;
แสดงOrderNo ของ  orders_details โดยเรียงลำดับ  order number  จากน้อยไปมาก .,SELECT  OrderNo  FROM orders_details  ORDER BY  OrderNo ;
แสดงProductNo ของ  orders_details โดยเรียงลำดับ  order number  จากน้อยไปมาก .,SELECT  ProductNo  FROM orders_details  ORDER BY  ProductNo ;
"แสดงProductNo,PPrice ของ  products โดยเรียงลำดับ  product number  จากน้อยไปมาก .","SELECT  ProductNo,PPrice  FROM products  ORDER BY  PPrice ;"
"แสดงODate,OrderNo,CustomerNo ของ  orderss โดยเรียงลำดับ  total order  จากน้อยไปมาก .","SELECT  ODate,OrderNo,CustomerNo  FROM orderss  ORDER BY  CustomerNo ;"
"แสดงPTotal,PPrice ของ  products โดยเรียงลำดับ  product number  จากน้อยไปมาก .","SELECT  PTotal,PPrice  FROM products  ORDER BY  PPrice ;"
แสดงOrderNo ของ  orders_details โดยเรียงลำดับ  order number  จากน้อยไปมาก .,SELECT  OrderNo  FROM orders_details  ORDER BY  OrderNo ;
"แสดงOtotal,ODate,CustomerNo ของ  orderss โดยเรียงลำดับ  total order  จากน้อยไปมาก .","SELECT  Ototal,ODate,CustomerNo  FROM orderss  ORDER BY  CustomerNo ;"
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  จากน้อยไปมาก  order by ODate  so that the orderss with the largest ODate appear first .,SELECT  *  FROM orderss  ORDER BY  ODate  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  จากน้อยไปมาก  order by ProductNo  so that the orders_details with the largest ProductNo appear first .,SELECT  *  FROM orders_details  ORDER BY  ProductNo  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  total order  จากมากไปน้อย .,SELECT  *  FROM orderss  ORDER BY  OrderNo  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  order number  จากมากไปน้อย .,SELECT  *  FROM orders_details  ORDER BY  ProductNo  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  products โดยเรียงลำดับ  product number  จากมากไปน้อย .,SELECT  *  FROM products  ORDER BY  PPrice  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  products โดยเรียงลำดับ  product number  จากมากไปน้อย .,SELECT  *  FROM products  ORDER BY  PTotal  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  order number  จากมากไปน้อย .,SELECT  *  FROM orders_details  ORDER BY  OrderNo  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  total order  จากมากไปน้อย .,SELECT  *  FROM orderss  ORDER BY  CustomerNo  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  total order  จากมากไปน้อย .,SELECT  *  FROM orderss  ORDER BY  ODate  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  จากน้อยไปมาก  order by Ototal  so that the orderss with the largest Ototal appear first .,SELECT  *  FROM orderss  ORDER BY  Ototal  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  จากน้อยไปมาก  order by quantity  so that the orders_details with the largest quantity appear first .,SELECT  *  FROM orders_details  ORDER BY  quantity  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  จากน้อยไปมาก  order by OrderNo  so that the orderss with the largest OrderNo appear first .,SELECT  *  FROM orderss  ORDER BY  OrderNo  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  products โดยเรียงลำดับ  จากน้อยไปมาก  order by  โดยจัดกลุ่มตาม PName .,SELECT  *  FROM products  ORDER BY  PName  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  จากน้อยไปมาก  order by  โดยจัดกลุ่มตาม Ototal .,SELECT  *  FROM orderss  ORDER BY  Ototal  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  quantity  จากมากไปน้อย .,SELECT  *  FROM orders_details  ORDER BY  quantity  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  Ototal  จากมากไปน้อย .,SELECT  *  FROM orderss  ORDER BY  Ototal  DESC ;
"แสดงProductNo,PPrice,PTotal,PName ของ  products โดยเรียงลำดับ  PName  จากน้อยไปมาก .","SELECT  ProductNo,PPrice,PTotal,PName  FROM products  ORDER BY  PName ;"
แสดงOrderNo ของ  orderss โดยเรียงลำดับ  OrderNo  จากน้อยไปมาก .,SELECT  OrderNo  FROM orderss  ORDER BY  OrderNo ;
"แสดงProductNo,quantity ของ  orders_details โดยเรียงลำดับ  quantity  จากน้อยไปมาก .","SELECT  ProductNo,quantity  FROM orders_details  ORDER BY  quantity ;"
แสดงข้อมูลทั้งหมดของตาราง  products โดยเรียงลำดับ  PName  จากมากไปน้อย .,SELECT  *  FROM products  ORDER BY  PName  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  OrderNo  จากมากไปน้อย ,SELECT  *  FROM orderss  ORDER BY  OrderNo  DESC ;
"แสดงProductNo,OrderNo,quantity ของ  orders_details โดยเรียงลำดับ  quantity  จากน้อยไปมาก ","SELECT  ProductNo,OrderNo,quantity  FROM orders_details  ORDER BY  quantity ;"
แสดงข้อมูลทั้งหมดของตาราง  ค่าเฉลี่ยของ price product และจำนวนของ  product number  PName  so that the products with the largest PName appear first  ซึ่ง total มากกว่า น้อยกว่า .,"SELECT PName, AVG(PPrice), ProductNo =  COUNT(*) FROM products GROUP BY PName HAVING AVG(PPrice)  < 25 ;"
แสดงข้อมูลทั้งหมดของตาราง  ค่าเฉลี่ยของ quantity product และจำนวนของ  order number  OrderNo  so that the orders_details with the largest OrderNo appear first  ซึ่ง total มากกว่า น้อยกว่า .,"SELECT OrderNo, AVG(quantity), OrderNo =  COUNT(*) FROM orders_details GROUP BY OrderNo HAVING AVG(quantity)  < 50 ;"
แสดงข้อมูลทั้งหมดของตาราง  ค่าเฉลี่ยของ price product และจำนวนของ  product number  PName  so that the products with the largest PName appear first  ซึ่ง total  price product ต้องน้อยกว่า .,"SELECT PName, AVG(PPrice), ProductNo =  COUNT(*) FROM products GROUP BY PName HAVING AVG(PPrice)  > 25 ;"
แสดงข้อมูลทั้งหมดของตาราง  ค่าเฉลี่ยของ total order และจำนวนของ  total order  CustomerNo  so that the orderss with the largest CustomerNo appear first  ซึ่ง total  total order ต้องน้อยกว่า .,"SELECT CustomerNo, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY CustomerNo HAVING AVG(Ototal)  > 02 ;"
"แสดงPTotal,PName,PPrice,ProductNo ของ  products โดยเรียงลำดับ  ProductNo  จากน้อยไปมาก ","SELECT  PTotal,PName,PPrice,ProductNo  FROM products  ORDER BY  ProductNo ;"
แสดงข้อมูลทั้งหมดของตาราง  ค่าเฉลี่ยของ total order และจำนวนของ  total order  Ototal  so that the orderss with the largest Ototal appear first  ซึ่ง total มากกว่า น้อยกว่า .,"SELECT Ototal, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY Ototal HAVING AVG(Ototal)  < 39 ;"
แสดงข้อมูลทั้งหมดของตาราง  ค่าเฉลี่ยของ quantity product และจำนวนของ  order number  quantity  so that the orders_details with the largest quantity appear first  ซึ่ง total มากกว่า น้อยกว่า .,"SELECT quantity, AVG(quantity), OrderNo =  COUNT(*) FROM orders_details GROUP BY quantity HAVING AVG(quantity)  < 53 ;"
"แสดงODate,Ototal,OrderNo ของ  orderss โดยเรียงลำดับ  OrderNo  จากน้อยไปมาก ","SELECT  ODate,Ototal,OrderNo  FROM orderss  ORDER BY  OrderNo ;"
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  ProductNo  จากมากไปน้อย ,SELECT  *  FROM orders_details  ORDER BY  ProductNo  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  OrderNo  จากมากไปน้อย ,SELECT  *  FROM orderss  ORDER BY  OrderNo  DESC ;
"แสดงODate,OrderNo ของ  orderss โดยเรียงลำดับ  OrderNo  จากน้อยไปมาก ","SELECT  ODate,OrderNo  FROM orderss  ORDER BY  OrderNo ;"
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  OrderNo  จากมากไปน้อย ,SELECT  *  FROM orderss  ORDER BY  OrderNo  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  products โดยเรียงลำดับ  PPrice  จากมากไปน้อย ,SELECT  *  FROM products  ORDER BY  PPrice  DESC ;
"แสดงPPrice,PTotal,ProductNo,PName ของ  products โดยเรียงลำดับ  PName  จากน้อยไปมาก ","SELECT  PPrice,PTotal,ProductNo,PName  FROM products  ORDER BY  PName ;"
"แสดงOtotal,OrderNo ของ  orderss โดยเรียงลำดับ  OrderNo  จากน้อยไปมาก ","SELECT  Ototal,OrderNo  FROM orderss  ORDER BY  OrderNo ;"
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  OrderNo  จากมากไปน้อย ,SELECT  *  FROM orderss  ORDER BY  OrderNo  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  ProductNo  จากมากไปน้อย ,SELECT  *  FROM orders_details  ORDER BY  ProductNo  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  products โดยเรียงลำดับ  PName  จากมากไปน้อย ,SELECT  *  FROM products  ORDER BY  PName  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  OrderNo  จากมากไปน้อย ,SELECT  *  FROM orderss  ORDER BY  OrderNo  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  quantity  จากมากไปน้อย ,SELECT  *  FROM orders_details  ORDER BY  quantity  DESC ;
